Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Z_CostContact,Z_Revenue,Total_kids
0.084832224,0.585858586,0.425318151,0.442211055,0.316521739,0.664092664,0.335877863,0.274143302,0.2,0.296296296,0.357142857,0.307692308,0.35,0,0,0
0.067095179,0.383838384,0.007367716,0.005025126,0.003478261,0.007722008,0.003816794,0.018691589,0.133333333,0.037037037,0.035714286,0.153846154,0.25,0,0,0.666666667
0.105097333,0.262626263,0.285331547,0.246231156,0.073623188,0.428571429,0.080152672,0.130841121,0.066666667,0.296296296,0.071428571,0.769230769,0.2,0,0,0
0.037471275,0.262626263,0.007367716,0.020100503,0.011594203,0.038610039,0.011450382,0.015576324,0.133333333,0.074074074,0,0.307692308,0.3,0,0,0.333333333
0.08506533,0.949494949,0.115874079,0.216080402,0.068405797,0.177606178,0.103053435,0.046728972,0.333333333,0.185185185,0.107142857,0.461538462,0.25,0,0,0.333333333
0.091411805,0.161616162,0.348292029,0.211055276,0.056811594,0,0.160305344,0.043613707,0.133333333,0.222222222,0.142857143,0.769230769,0.3,0,0,0.333333333
0.081067952,0.343434343,0.157401206,0.326633166,0.095072464,0.193050193,0.187022901,0.08411215,0.266666667,0.259259259,0.107142857,0.538461538,0.3,0,0,0.333333333
0.047709855,0.323232323,0.05090422,0.050251256,0.032463768,0.011583012,0.003816794,0.07165109,0.133333333,0.148148148,0,0.307692308,0.4,0,0,0.333333333
0.04304324,0.191919192,0.009377093,0,0.013913043,0.011583012,0.011450382,0.00623053,0.066666667,0.111111111,0,0.153846154,0.45,0,0,0.333333333
0.005892296,0.686868687,0.018754186,0,0.003478261,0.003861004,0.003816794,0.040498442,0.066666667,0.037037037,0,0,1,0,0,0.666666667
0.008677527,0.595959596,0.004018754,0.08040201,0.006376812,0.042471042,0.003816794,0.049844237,0.066666667,0.074074074,0,0.230769231,0.4,0,0,0
